"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\02_A1.d"," DAD1 - B:Sig=260,4  Ref=360,60 02_A1.d"
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\02_A1.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\56_E2.d" ,"2" ,0.408,0.426,0.479,12.05,30.00,10.56,30.13,4.37,0.071,0.040,-0.33,2.50,0.394,0.394,0.465,0.485,-0.33,-0.33,3.45,11.72,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\56_E2.d" ,"3" ,0.479,0.509,0.560,12.28,30.81,10.84,30.70,4.49,0.081,0.036,2.50,1.06,0.465,0.485,0.553,0.565,-0.33,-0.33,1.31,11.95,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\56_E2.d" ,"4" ,0.560,0.576,0.589,3.49,4.56,1.60,8.72,0.66,0.029,0.026,1.06,2.05,0.553,0.565,0.582,0.591,-0.33,-0.33,0.61,3.16,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\56_E2.d" ,"5" ,0.589,0.605,0.664,39.99,55.78,19.63,100.00,8.13,0.075,0.019,2.05,0.26,0.582,0.591,0.725,0.755,-0.08,-0.01,2.98,39.93,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\56_E2.d" ,"6" ,1.161,1.214,1.319,15.49,49.44,17.39,38.73,7.21,0.158,0.049,-0.32,-0.19,1.159,1.161,1.318,1.326,-0.32,-0.19,1.56,15.21,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\56_E2.d" ,"7" ,3.167,3.288,3.478,19.16,119.02,41.88,47.91,17.36,0.312,0.096,-1.02,-0.93,3.152,3.154,3.478,3.481,-1.08,-0.93,1.33,18.13,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\56_E2.d" ,"8" ,3.496,3.591,3.696,18.19,85.76,30.18,45.48,12.51,0.200,0.074,-0.89,-1.17,3.491,3.493,3.722,3.724,-0.89,-1.17,1.07,17.16,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\56_E2.d" ,"9" ,7.106,7.296,7.505,19.40,284.20,100.00,48.52,41.44,0.400,0.301,-0.37,16.38,7.026,7.028,7.505,7.509,-0.37,16.38,1.73,27.00,,,  ,,,,,,,,,,,,

"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\57_E3.d"," DAD1 - B:Sig=260,4  Ref=360,60 57_E3.d"
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\57_E3.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\57_E3.d" ,"1" ,0.361,0.378,0.391,20.88,22.69,7.99,62.55,3.58,0.030,0.031,-1.11,-30.01,0.354,0.356,0.393,0.394,-1.11,-30.01,0.38,3.49,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\57_E3.d" ,"2" ,0.406,0.423,0.472,11.66,28.39,10.00,34.93,4.48,0.066,0.041,-0.33,2.95,0.393,0.394,0.461,0.479,-0.33,-0.33,3.54,11.33,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\57_E3.d" ,"3" ,0.472,0.501,0.560,12.55,30.85,10.86,37.61,4.87,0.087,0.035,2.95,0.49,0.461,0.479,0.553,0.565,-0.33,-0.33,1.23,12.23,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\57_E3.d" ,"4" ,0.560,0.578,0.589,2.78,3.58,1.26,8.32,0.56,0.030,0.025,0.49,1.62,0.553,0.565,0.583,0.592,-0.33,-0.33,0.54,2.45,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\57_E3.d" ,"5" ,0.589,0.606,0.659,33.38,47.76,16.82,100.00,7.54,0.069,0.020,1.62,0.22,0.583,0.592,0.658,0.670,0.08,0.18,2.90,33.48,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\57_E3.d" ,"6" ,1.159,1.222,1.310,13.01,43.22,15.22,38.99,6.82,0.151,0.051,-0.38,-0.14,1.155,1.160,1.309,1.311,-0.38,-0.20,1.45,12.71,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\57_E3.d" ,"7" ,3.184,3.305,3.438,16.17,98.10,34.55,48.44,15.48,0.254,0.096,-1.06,-0.47,3.173,3.177,3.493,3.496,-1.06,-0.47,1.22,15.39,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\57_E3.d" ,"8" ,3.516,3.601,3.716,16.34,75.20,26.48,48.95,11.86,0.200,0.072,-0.94,-1.33,3.499,3.508,3.721,3.725,-0.94,-1.33,1.09,15.23,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\57_E3.d" ,"9" ,7.104,7.292,7.505,19.54,283.98,100.00,58.54,44.81,0.402,0.302,-0.52,16.48,7.028,7.031,7.505,7.509,-0.52,16.48,1.80,27.01,,,  ,,,,,,,,,,,,

"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\58_E4.d"," DAD1 - B:Sig=260,4  Ref=360,60 58_E4.d"
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\58_E4.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\58_E4.d" ,"1" ,0.361,0.378,0.392,22.36,25.31,8.93,63.05,3.90,0.031,0.033,-0.94,-33.62,0.353,0.355,0.394,0.394,-0.94,-33.62,0.38,3.32,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\58_E4.d" ,"2" ,0.408,0.426,0.478,11.54,28.57,10.08,32.55,4.40,0.070,0.040,-0.33,2.44,0.394,0.394,0.465,0.484,-0.33,-0.33,3.39,11.21,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\58_E4.d" ,"3" ,0.478,0.507,0.560,12.26,31.06,10.96,34.57,4.79,0.082,0.037,2.44,0.95,0.465,0.484,0.554,0.566,-0.33,-0.33,1.40,11.93,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\58_E4.d" ,"4" ,0.560,0.577,0.589,3.35,4.32,1.52,9.45,0.67,0.028,0.025,0.95,2.03,0.554,0.566,0.582,0.591,-0.33,-0.33,0.56,3.02,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\58_E4.d" ,"5" ,0.589,0.605,0.662,35.47,49.02,17.30,100.00,7.55,0.073,0.019,2.03,0.08,0.582,0.591,0.657,0.669,-0.09,-0.03,2.85,35.39,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\58_E4.d" ,"6" ,1.159,1.214,1.335,13.68,44.53,15.71,38.57,6.86,0.176,0.050,-0.33,-0.23,1.140,1.144,1.334,1.336,-0.33,-0.23,1.61,13.38,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\58_E4.d" ,"7" ,3.179,3.293,3.481,17.06,106.39,37.54,48.11,16.39,0.301,0.096,-0.98,-0.98,3.168,3.170,3.480,3.482,-0.98,-0.98,1.27,16.08,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\58_E4.d" ,"8" ,3.497,3.594,3.688,16.40,76.35,26.94,46.23,11.77,0.191,0.074,-0.98,-0.99,3.485,3.500,3.709,3.711,-0.98,-0.99,1.05,15.41,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\58_E4.d" ,"9" ,7.105,7.296,7.505,19.35,283.38,100.00,54.56,43.67,0.400,0.301,-0.41,16.48,7.026,7.031,7.505,7.509,-0.41,16.48,1.72,27.01,,,  ,,,,,,,,,,,,

"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\59_E5.d"," DAD1 - B:Sig=260,4  Ref=360,60 59_E5.d"
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\59_E5.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\59_E5.d" ,"1" ,0.361,0.379,0.391,22.55,24.58,8.65,75.25,4.02,0.030,0.033,-0.84,-32.66,0.352,0.355,0.394,0.394,-0.84,-32.66,0.35,3.59,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\59_E5.d" ,"2" ,0.407,0.425,0.478,12.08,30.17,10.61,40.32,4.94,0.071,0.040,-0.36,2.73,0.394,0.394,0.464,0.484,-0.36,-0.29,3.52,11.74,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\59_E5.d" ,"3" ,0.478,0.506,0.560,12.21,30.81,10.84,40.74,5.04,0.082,0.037,2.73,0.96,0.464,0.484,0.554,0.565,-0.29,-0.21,1.26,11.95,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\59_E5.d" ,"4" ,0.560,0.576,0.589,3.30,4.22,1.48,11.02,0.69,0.028,0.026,0.96,2.04,0.554,0.565,0.582,0.591,-0.21,-0.18,0.64,3.11,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\59_E5.d" ,"5" ,0.589,0.605,0.659,29.97,41.74,14.68,100.00,6.83,0.070,0.019,2.04,-0.11,0.582,0.591,0.659,0.661,-0.18,-0.11,2.76,29.81,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\59_E5.d" ,"6" ,1.165,1.216,1.317,11.70,37.91,13.34,39.03,6.20,0.153,0.050,-0.30,-0.24,1.158,1.161,1.317,1.321,-0.30,-0.24,1.56,11.42,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\59_E5.d" ,"7" ,3.169,3.297,3.479,14.53,90.73,31.92,48.47,14.85,0.310,0.096,-1.08,-1.02,3.166,3.169,3.479,3.481,-1.08,-1.02,1.24,13.47,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\59_E5.d" ,"8" ,3.506,3.596,3.704,14.27,66.56,23.42,47.62,10.90,0.198,0.074,-1.01,-1.36,3.491,3.494,3.704,3.706,-1.01,-1.36,1.08,13.11,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\59_E5.d" ,"9" ,7.106,7.288,7.505,19.73,284.22,100.00,65.84,46.52,0.400,0.302,-0.39,16.41,7.022,7.034,7.505,7.509,-0.39,16.41,1.90,27.00,,,  ,,,,,,,,,,,,

"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\60_E6.d"," DAD1 - B:Sig=260,4  Ref=360,60 60_E6.d"
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\60_E6.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\60_E6.d" ,"1" ,0.363,0.379,0.393,16.51,18.01,6.34,46.51,2.87,0.030,0.033,-0.66,-24.29,0.353,0.355,0.395,0.396,-0.66,-24.29,0.37,3.20,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\60_E6.d" ,"2" ,0.409,0.427,0.484,9.51,23.74,8.36,26.78,3.78,0.075,0.038,-0.38,1.60,0.395,0.396,0.471,0.489,-0.38,-0.38,3.65,9.13,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\60_E6.d" ,"3" ,0.484,0.512,0.559,9.62,23.37,8.23,27.10,3.73,0.075,0.036,1.60,0.99,0.471,0.489,0.553,0.565,-0.38,-0.38,1.30,9.24,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\60_E6.d" ,"4" ,0.559,0.575,0.586,3.04,3.79,1.34,8.57,0.60,0.027,0.025,0.99,1.75,0.553,0.565,0.580,0.587,-0.38,-0.38,0.55,2.66,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\60_E6.d" ,"5" ,0.586,0.601,0.654,35.49,48.84,17.20,100.00,7.78,0.069,0.019,1.75,-0.24,0.580,0.587,0.653,0.656,-0.34,-0.33,2.92,35.16,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\60_E6.d" ,"6" ,1.156,1.213,1.315,14.22,44.49,15.67,40.06,7.09,0.159,0.048,-0.40,-0.25,1.151,1.155,1.315,1.317,-0.41,-0.25,1.59,13.87,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\60_E6.d" ,"7" ,3.179,3.296,3.490,16.35,103.68,36.51,46.07,16.52,0.311,0.098,-1.04,-1.04,3.178,3.180,3.489,3.498,-1.06,-1.04,1.26,15.30,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\60_E6.d" ,"8" ,3.502,3.595,3.707,16.44,77.57,27.31,46.31,12.36,0.205,0.074,-1.01,-1.32,3.489,3.498,3.717,3.726,-1.01,-1.32,1.11,15.29,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\60_E6.d" ,"9" ,7.105,7.294,7.505,19.47,283.98,100.00,54.85,45.26,0.400,0.302,-0.47,16.45,7.028,7.031,7.505,7.509,-0.47,16.45,1.77,26.99,,,  ,,,,,,,,,,,,

"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\62_E7.d"," DAD1 - B:Sig=260,4  Ref=360,60 62_E7.d"
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\62_E7.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\62_E7.d" ,"1" ,0.364,0.380,0.393,16.76,17.62,6.21,60.19,2.88,0.029,0.033,-0.57,-23.92,0.354,0.356,0.395,0.396,-0.57,-23.92,0.36,3.67,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\62_E7.d" ,"2" ,0.409,0.425,0.484,11.46,28.26,9.96,41.16,4.62,0.075,0.037,-0.46,2.22,0.395,0.396,0.466,0.490,-0.46,-0.46,4.20,11.00,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\62_E7.d" ,"3" ,0.484,0.511,0.560,10.04,24.61,8.67,36.05,4.02,0.077,0.036,2.22,0.89,0.466,0.490,0.553,0.566,-0.46,-0.46,1.24,9.58,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\62_E7.d" ,"4" ,0.560,0.578,0.596,2.94,4.61,1.62,10.55,0.75,0.036,0.030,0.89,0.83,0.553,0.566,0.590,0.599,-0.46,-0.46,0.88,2.48,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\62_E7.d" ,"5" ,0.596,0.616,0.697,27.84,45.70,16.10,100.00,7.47,0.100,0.022,0.83,0.39,0.590,0.599,0.770,0.773,-0.36,-0.33,2.54,27.49,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\62_E7.d" ,"6" ,1.199,1.253,1.368,12.62,40.89,14.41,45.34,6.68,0.169,0.050,-0.47,-0.39,1.182,1.198,1.365,1.371,-0.47,-0.39,1.56,12.18,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\62_E7.d" ,"7" ,3.249,3.362,3.521,15.59,95.09,33.51,55.99,15.54,0.272,0.095,-1.09,-1.06,3.237,3.242,3.545,3.550,-1.09,-1.06,1.20,14.51,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\62_E7.d" ,"8" ,3.555,3.638,3.738,16.51,71.19,25.08,59.31,11.64,0.183,0.068,-1.17,-1.36,3.545,3.550,3.753,3.756,-1.17,-1.36,1.13,15.26,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\62_E7.d" ,"9" ,7.106,7.290,7.505,19.61,283.80,100.00,70.42,46.39,0.399,0.302,-0.37,16.43,7.024,7.033,7.505,7.509,-0.37,16.43,1.85,26.98,,,  ,,,,,,,,,,,,

"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\63_E8.d"," DAD1 - B:Sig=260,4  Ref=360,60 63_E8.d"
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\63_E8.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\63_E8.d" ,"1" ,0.356,0.379,0.384,4.83,4.05,1.42,14.37,0.65,0.028,0.014,-1.56,-1.44,0.353,0.354,0.394,0.394,-1.56,-1.44,0.27,3.37,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\63_E8.d" ,"2" ,0.407,0.426,0.479,12.21,31.38,10.97,36.34,5.06,0.071,0.042,-1.34,2.30,0.394,0.394,0.465,0.484,-1.34,-1.04,3.34,10.95,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\63_E8.d" ,"3" ,0.479,0.507,0.560,12.44,32.11,11.22,37.02,5.17,0.081,0.038,2.30,0.97,0.465,0.484,0.553,0.565,-1.04,-0.70,1.38,11.52,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\63_E8.d" ,"4" ,0.560,0.576,0.589,3.63,4.86,1.70,10.79,0.78,0.029,0.027,0.97,1.91,0.553,0.565,0.583,0.591,-0.70,-0.57,0.63,3.00,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\63_E8.d" ,"5" ,0.589,0.605,0.661,33.61,47.09,16.46,100.00,7.59,0.072,0.019,1.91,0.01,0.583,0.591,0.658,0.667,-0.57,-0.27,2.94,33.11,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\63_E8.d" ,"6" ,1.160,1.214,1.311,13.14,41.66,14.56,39.10,6.71,0.151,0.049,-0.30,-0.17,1.146,1.153,1.329,1.334,-0.30,-0.17,1.54,12.89,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\63_E8.d" ,"7" ,3.169,3.293,3.482,16.02,100.09,34.99,47.66,16.13,0.313,0.096,-1.04,-1.00,3.161,3.169,3.480,3.491,-1.04,-1.00,1.26,15.00,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\63_E8.d" ,"8" ,3.501,3.593,3.700,15.57,73.25,25.60,46.31,11.80,0.199,0.074,-0.96,-1.26,3.500,3.502,3.708,3.710,-0.99,-1.26,1.09,14.45,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\63_E8.d" ,"9" ,7.101,7.289,7.505,19.78,286.09,100.00,58.86,46.10,0.405,0.302,-0.74,16.42,7.029,7.034,7.505,7.509,-0.74,16.42,1.87,27.03,,,  ,,,,,,,,,,,,

"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\64_E9.d"," DAD1 - B:Sig=260,4  Ref=360,60 64_E9.d"
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\64_E9.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\64_E9.d" ,"1" ,0.362,0.378,0.391,20.01,21.10,7.41,74.83,3.64,0.029,0.032,-0.73,-29.04,0.353,0.355,0.393,0.394,-0.73,-29.04,0.36,3.69,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\64_E9.d" ,"2" ,0.406,0.422,0.475,12.13,29.30,10.29,45.38,5.06,0.069,0.039,-0.31,3.00,0.393,0.394,0.460,0.483,-0.31,-0.26,3.87,11.83,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\64_E9.d" ,"3" ,0.475,0.503,0.560,11.18,28.02,9.85,41.81,4.84,0.085,0.036,3.00,0.70,0.460,0.483,0.553,0.565,-0.26,-0.21,1.23,10.93,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\64_E9.d" ,"4" ,0.560,0.576,0.590,2.87,3.77,1.32,10.72,0.65,0.030,0.026,0.70,1.65,0.553,0.565,0.584,0.592,-0.21,-0.19,0.68,2.67,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\64_E9.d" ,"5" ,0.590,0.606,0.660,26.73,37.39,13.14,100.00,6.46,0.071,0.019,1.65,-0.14,0.584,0.592,0.661,0.663,-0.19,-0.14,2.77,26.56,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\64_E9.d" ,"6" ,1.160,1.221,1.324,10.83,35.41,12.44,40.53,6.12,0.164,0.050,-0.40,-0.30,1.158,1.161,1.321,1.325,-0.40,-0.30,1.48,10.47,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\64_E9.d" ,"7" ,3.196,3.306,3.435,13.01,78.45,27.56,48.67,13.55,0.238,0.095,-0.96,-0.62,3.182,3.185,3.500,3.504,-0.96,-0.62,1.23,12.21,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\64_E9.d" ,"8" ,3.514,3.600,3.705,13.33,60.94,21.41,49.85,10.52,0.191,0.072,-1.06,-1.36,3.500,3.504,3.720,3.732,-1.06,-1.36,1.10,12.13,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\64_E9.d" ,"9" ,7.104,7.289,7.505,19.68,284.62,100.00,73.63,49.16,0.401,0.302,-0.49,16.42,7.026,7.031,7.505,7.509,-0.49,16.42,1.87,26.98,,,  ,,,,,,,,,,,,

"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\65_E10.d"," DAD1 - B:Sig=260,4  Ref=360,60 65_E10.d"
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\65_E10.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),
